纬度,日期,时间,经度,海拔,速度,地面航向
4047.5,100517,'013238,11141.856,1108,012.2,253.6
4047.5,100517,'013239,11141.852,1106,011.3,254.3
4047.5,100517,'013239,11141.852,1106,011.3,254.3
4047.5,100517,'013241,11141.837,1181,012.3,252.0
4047.5,100517,'013242,11141.830,1199,012.2,255.4
4047.5,100517,'013243,11141.826,1195,014.2,257.0
4047.5,100517,'013244,11141.821,1194,014.5,258.9
4047.5,100517,'013245,11141.815,1192,014.7,260.2
4047.5,100517,'013246,11141.810,1194,014.6,259.4
4047.5,100517,'013247,11141.806,1195,013.9,252.7
4047.5,100517,'013248,11141.800,1196,014.7,257.7
4047.5,100517,'013249,11141.796,1184,014.9,259.9
4047.5,100517,'013250,11141.791,1174,014.5,258.7
4047.5,100517,'013251,11141.787,1167,012.9,254.0
4047.5,100517,'013252,11141.783,1162,011.1,254.8
4047.5,100517,'013253,11141.779,1159,010.7,259.7
4047.5,100517,'013254,11141.776,1151,009.6,273.7
4047.5,100517,'013255,11141.771,1147,009.3,298.6
4047.5,100517,'013256,11141.769,1147,011.0,327.2
4047.5,100517,'013257,11141.767,1147,013.1,338.5
4047.5,100517,'013258,11141.766,1146,016.3,341.1
4047.5,100517,'013259,11141.764,1145,018.5,340.4
4047.5,100517,'013300,11141.762,1144,020.1,339.9
4047.5,100517,'013301,11141.759,1144,022.2,339.6
4047.5,100517,'013302,11141.757,1143,022.7,339.2
4047.5,100517,'013303,11141.754,1142,023.3,338.7
4047.5,100517,'013304,11141.751,1142,022.5,339.4
4047.5,100517,'013305,11141.748,1142,022.2,339.1
4047.6,100517,'013306,11141.746,1142,021.9,339.9
4047.6,100517,'013307,11141.743,1142,021.4,340.3
4047.6,100517,'013308,11141.741,1141,020.6,341.2
4047.6,100517,'013309,11141.738,1142,018.8,342.0
4047.6,100517,'013310,11141.737,1141,016.5,342.1
4047.6,100517,'013311,11141.735,1140,014.8,342.6
4047.6,100517,'013312,11141.734,1140,013.2,342.9
4047.6,100517,'013313,11141.733,1139,011.6,343.2
4047.6,100517,'013314,11141.732,1139,009.7,343.4
4047.6,100517,'013315,11141.731,1139,008.0,343.5
4047.6,100517,'013316,11141.730,1140,007.1,343.4
4047.6,100517,'013317,11141.730,1139,007.0,343.3
4047.6,100517,'013318,11141.729,1139,006.7,343.0
4047.6,100517,'013319,11141.728,1138,005.6,343.0
4047.6,100517,'013320,11141.728,1137,003.9,338.0
